ifrString,ifrCode,mu,sigma,mu_reset,sigma_reset,reset_rate,pmax
automotive,2,-2.91014605583706e-09,1.59358515450823e-06,-0.0192665706315594,0.137210077097295,0.102793296089385,4.58442835870318
electronics,4,0.000858037280163039,0.00148363902907716,-0.0415083809120017,0.183770272583668,0.117291704049285,6
food,5,0.00387337393117738,0.0613177452159126,-0.0363986720067483,0.0460879049500602,0.105956112852665,2.54027806033928
furniture,6,0.00103922335506512,0.0451672871340898,-0.0192382488456453,0.0801758966153734,0.107784431137725,4.76903416882845
manufacturing_other,7,0.00098909129091379,0.000965573528412817,-0.0459624516726565,0.186445052719578,0.124833997343958,6
metal_basic,8,0.00212742682188146,0.0469359241306465,-0.0225048215695349,0.0591684168517681,0.110208816705336,4.57419517978516
metal_machinery,9,0.000889397099743517,0.0533099112811474,-0.017592737973571,0.0744714759112259,0.0991847826086957,3.6093216471975
metal_products,10,0.00377908901192282,0.0510178977031891,-0.0341987384912079,0.0599950222249245,0.109942638623327,6
mineral,11,0.00151755031675149,0.0387206355181123,-0.0165491804665357,0.0748796763086995,0.10126582278481,1.59211149951811
paper,13,0.000404252075556656,1.65393569266442e-05,-0.00833435146216094,0.119661532333629,0.104312354312354,1.74927481644836
petrochemicals,14,0.026466515828623,0.136629574408599,-0.244729114265825,0.0374422899739588,0.118985763275486,6
textiles,17,0.0010465231571385,0.0366478997619555,-0.0160308072172838,0.0439858943468161,0.0874524714828897,2.47984633246028
vehicles_other,19,0.000513258394858454,7.7682238890262e-06,-0.0155679681704728,0.143407224686985,0.0976116303219107,2.67632685959813
