industry_ifr19,ifrString,apr_lv04,apr_lv07,apr_lv10,apr_lv14,thetaProd,theta_p,sigma_p,emp_us_,vadd_1989,shares,ifrCode
"automotive","Automotive",69.01,85.72555,87.56395,117.7239,.3480975,.9418893,.1151432,638.83,86038.5,.0645,"automotive"
"electronics","Electronics",5.71,8.653976,10.3389,13.10602,.2768281,.9159831,.1454518,1609,213904.7,.1488,"electronics"
"food","Food and Beverages",2.91,3.922889,4.855599,6.173137,.2142387,.7746219,.1569609,1226.75,133839.5,.117,"food"
"furniture","Wood and Furniture",.01,.0171909,.022162,.1386901,.4075211,.9332089,.1190216,916.17,35013.8,.0276,"furniture"
"manufacturing_other","Miscellaneous Manufacturing",1.4,1.963926,2.356488,13.81719,.3220196,1.02144,.138676,264.99,18897.8,.0399,"manufacturing_other"
"metal_basic","Basic Metals",3.98,5.049511,5.396994,7.16703,.3757073,.9891669,.125155,590.6,47912,.0312,"metal_basic"
"metal_machinery","Industrial Machinery",1.32,1.674012,1.789031,2.374919,.3343945,1.054926,.1278311,1111.9,99995.6,.0784,"metal_machinery"
"metal_products","Metal Products",4.6,5.836375,6.238071,8.284266,.3493713,.7619101,.1355968,973.23,57930.4,.0701,"metal_products"
"mineral","Clay Glass and Minerals",.12,.238615,.2826546,.6771105,.325226,1.307367,.1126429,445.5,34265,.0241,"mineral"
"paper","Paper and Publishing",0,.0016218,.0084838,.1086639,.2776472,.7913067,.0925609,1192.44,137340.2,.0467,"paper"
"petrochemicals","Plastics Chemicals and Pharmaceuticals",5.12,6.948222,7.951354,9.904892,.1846281,.7855977,.1727251,1311.43,212642.3,.2704,"petrochemicals"
"textiles","Apparel and Textiles",0,.0044135,.0081305,.0451998,.4259807,.8103409,.08006,1570.32,53192.1,.0135,"textiles"
"vehicles_other","Shipbuilding and Aerospace",.05,.1181571,.1539829,.5397837,.3167761,.8302428,.1371717,605.53,75674.7,.0677,"vehicles_other"
